epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,560.389,1.04866,0.76812,1,0.58976,0.000411985,0.000411985,0.000411985
2,1113.22,0.53825,0.79952,1,0.60714,0.000787633,0.000787633,0.000787633
3,1839.68,0.43005,0.84783,1,0.49321,0.00112203,0.00112203,0.00112203
4,2375.58,0.35923,0.85507,1,0.4963,0.00106437,0.00106437,0.00106437
5,2902.15,0.31199,0.83575,1,0.50796,0.0010025,0.0010025,0.0010025
6,3417.9,0.29775,0.86715,1,0.407,0.000940625,0.000940625,0.000940625
7,3916.1,0.21064,0.88406,1,0.41737,0.00087875,0.00087875,0.00087875
8,4438.82,0.21176,0.86957,1,0.38835,0.000816875,0.000816875,0.000816875
9,4966.17,0.18601,0.8744,1,0.39427,0.000755,0.000755,0.000755
10,5496.83,0.17192,0.86957,1,0.46997,0.000693125,0.000693125,0.000693125
11,6018.87,0.14756,0.88406,1,0.40027,0.00063125,0.00063125,0.00063125
12,6540.87,0.13555,0.88406,1,0.40494,0.000569375,0.000569375,0.000569375
13,7061.16,0.11027,0.88164,1,0.41144,0.0005075,0.0005075,0.0005075
14,7599.79,0.11703,0.87923,1,0.42881,0.000445625,0.000445625,0.000445625
15,8150.09,0.09522,0.88164,1,0.42621,0.00038375,0.00038375,0.00038375
16,8723.67,0.10192,0.87923,1,0.44007,0.000321875,0.000321875,0.000321875
17,9289.57,0.07562,0.87923,1,0.4338,0.00026,0.00026,0.00026
18,9786.88,0.0656,0.87681,1,0.43053,0.000198125,0.000198125,0.000198125
19,10161.2,0.07507,0.8913,1,0.42084,0.00013625,0.00013625,0.00013625
20,10488.4,0.06625,0.88647,1,0.39726,7.4375e-05,7.4375e-05,7.4375e-05
