epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,187.159,1.02535,0.73671,1,0.65767,0.000411932,0.000411932,0.000411932
2,363.577,0.51228,0.80193,1,0.49502,0.000812192,0.000812192,0.000812192
3,543.677,0.41934,0.83816,1,0.43824,0.00119595,0.00119595,0.00119595
4,742.542,0.35152,0.83575,1,0.56852,0.00117575,0.00117575,0.00117575
5,938.774,0.33701,0.85507,1,0.45589,0.001151,0.001151,0.001151
6,1126.76,0.27018,0.84783,1,0.51908,0.00112625,0.00112625,0.00112625
7,1313.82,0.24317,0.86715,1,0.44077,0.0011015,0.0011015,0.0011015
8,1500.59,0.20665,0.843,1,0.54281,0.00107675,0.00107675,0.00107675
9,1684.86,0.221,0.86232,1,0.4819,0.001052,0.001052,0.001052
10,1870.44,0.17183,0.86715,1,0.50554,0.00102725,0.00102725,0.00102725
11,2123.79,0.15408,0.88889,1,0.45192,0.0010025,0.0010025,0.0010025
12,2341.76,0.14182,0.86232,1,0.46275,0.00097775,0.00097775,0.00097775
13,2529.05,0.12851,0.87923,1,0.43863,0.000953,0.000953,0.000953
14,2720.48,0.158,0.86473,1,0.5677,0.00092825,0.00092825,0.00092825
15,2927.36,0.14756,0.86957,1,0.4089,0.0009035,0.0009035,0.0009035
16,3122.39,0.1332,0.8744,1,0.44695,0.00087875,0.00087875,0.00087875
17,3325.48,0.12099,0.8744,1,0.56315,0.000854,0.000854,0.000854
18,3522.88,0.10248,0.84541,1,0.59769,0.00082925,0.00082925,0.00082925
19,3710.46,0.12459,0.88647,1,0.51396,0.0008045,0.0008045,0.0008045
20,3912.34,0.10951,0.87681,1,0.43862,0.00077975,0.00077975,0.00077975
21,4113.05,0.11259,0.87681,1,0.52131,0.000755,0.000755,0.000755
22,4289.92,0.10723,0.89855,1,0.50324,0.00073025,0.00073025,0.00073025
23,4485.04,0.07675,0.88647,1,0.42223,0.0007055,0.0007055,0.0007055
24,4652.41,0.07467,0.91063,1,0.44606,0.00068075,0.00068075,0.00068075
25,4838.84,0.07412,0.90097,1,0.43516,0.000656,0.000656,0.000656
26,5065.45,0.05985,0.90821,1,0.47863,0.00063125,0.00063125,0.00063125
27,5283.58,0.06155,0.89614,1,0.58157,0.0006065,0.0006065,0.0006065
28,5452.46,0.07154,0.88647,1,0.54709,0.00058175,0.00058175,0.00058175
29,5626.4,0.05137,0.88647,1,0.55531,0.000557,0.000557,0.000557
30,5794.08,0.04626,0.90097,1,0.47941,0.00053225,0.00053225,0.00053225
31,5960.03,0.05066,0.89372,1,0.49572,0.0005075,0.0005075,0.0005075
32,6125.32,0.05961,0.89614,1,0.51858,0.00048275,0.00048275,0.00048275
33,6291.84,0.05672,0.89372,1,0.53015,0.000458,0.000458,0.000458
34,6457.22,0.06459,0.89372,1,0.52608,0.00043325,0.00043325,0.00043325
35,6621.63,0.06346,0.89855,1,0.58899,0.0004085,0.0004085,0.0004085
36,6787.49,0.0498,0.89372,1,0.51714,0.00038375,0.00038375,0.00038375
37,6952.67,0.05221,0.8913,1,0.48178,0.000359,0.000359,0.000359
38,7117.68,0.044,0.90097,1,0.48773,0.00033425,0.00033425,0.00033425
39,7284.87,0.05788,0.89855,1,0.47174,0.0003095,0.0003095,0.0003095
40,7449.79,0.05843,0.8913,1,0.51377,0.00028475,0.00028475,0.00028475
41,7613.64,0.05245,0.89855,1,0.48716,0.00026,0.00026,0.00026
42,7778.74,0.04307,0.90097,1,0.49782,0.00023525,0.00023525,0.00023525
43,7942.63,0.03321,0.90338,1,0.51484,0.0002105,0.0002105,0.0002105
44,8106.24,0.05786,0.90097,1,0.47875,0.00018575,0.00018575,0.00018575
45,8268.92,0.032,0.9058,1,0.48122,0.000161,0.000161,0.000161
46,8431.46,0.04472,0.90338,1,0.48668,0.00013625,0.00013625,0.00013625
47,8594.58,0.05114,0.90097,1,0.45359,0.0001115,0.0001115,0.0001115
48,8762.01,0.03817,0.90338,1,0.46155,8.675e-05,8.675e-05,8.675e-05
49,8927.46,0.04,0.91546,1,0.44234,6.2e-05,6.2e-05,6.2e-05
50,9093.07,0.02791,0.90821,1,0.46266,3.725e-05,3.725e-05,3.725e-05
