epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,452.526,1.05833,0.79469,1,0.63116,0.0702632,0.00330409,0.00330409
2,904.698,0.58812,0.87198,1,0.35932,0.0399645,0.00633874,0.00633874
3,1355.87,0.42296,0.89855,1,0.25024,0.00936579,0.00907339,0.00907339
4,1805.72,0.38793,0.93237,1,0.18239,0.00865,0.00865,0.00865
5,2255.32,0.26807,0.96377,1,0.11151,0.0082,0.0082,0.0082
6,2706.26,0.20612,0.98309,1,0.05886,0.00775,0.00775,0.00775
7,3152.38,0.15347,0.99517,1,0.03133,0.0073,0.0073,0.0073
8,22501.8,0.17199,0.99517,1,0.0277,0.00685,0.00685,0.00685
