epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,425.488,0.92692,0.81401,1,0.49862,0.000411932,0.000411932,0.000411932
2,834.428,0.39639,0.88406,1,0.39972,0.000787583,0.000787583,0.000787583
3,1233.75,0.31447,0.8285,1,0.5636,0.00112198,0.00112198,0.00112198
4,1636.61,0.32408,0.81643,1,0.57855,0.00106437,0.00106437,0.00106437
5,2038.87,0.34287,0.86473,1,0.51979,0.0010025,0.0010025,0.0010025
6,2438.05,0.25147,0.85266,1,0.57365,0.000940625,0.000940625,0.000940625
7,2835.1,0.22858,0.8599,1,0.55162,0.00087875,0.00087875,0.00087875
8,3231.63,0.17713,0.87198,1,0.40226,0.000816875,0.000816875,0.000816875
