epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,266.067,1.04866,0.76812,1,0.58976,0.000411985,0.000411985,0.000411985
1,1543.53,1.04866,0.76812,1,0.58976,0.000411985,0.000411985,0.000411985
2,1806.31,0.53825,0.79952,1,0.60714,0.000787633,0.000787633,0.000787633
2,2073.06,0.53825,0.79952,1,0.60714,0.000787633,0.000787633,0.000787633
3,2329.46,0.43005,0.84783,1,0.49321,0.00112203,0.00112203,0.00112203
3,2611.1,0.43005,0.84783,1,0.49321,0.00112203,0.00112203,0.00112203
4,2861.95,0.35923,0.85507,1,0.4963,0.00106437,0.00106437,0.00106437
4,3321.54,0.35923,0.85507,1,0.4963,0.00106437,0.00106437,0.00106437
5,3575.27,0.31199,0.83575,1,0.50796,0.0010025,0.0010025,0.0010025
5,3843.78,0.31199,0.83575,1,0.50796,0.0010025,0.0010025,0.0010025
6,4091.37,0.29775,0.86715,1,0.407,0.000940625,0.000940625,0.000940625
6,4350.92,0.29775,0.86715,1,0.407,0.000940625,0.000940625,0.000940625
7,4596.57,0.21064,0.88406,1,0.41737,0.00087875,0.00087875,0.00087875
7,4844.74,0.21064,0.88406,1,0.41737,0.00087875,0.00087875,0.00087875
8,5093.85,0.21176,0.86957,1,0.38835,0.000816875,0.000816875,0.000816875
8,5330.75,0.21176,0.86957,1,0.38835,0.000816875,0.000816875,0.000816875
9,5581.14,0.18601,0.8744,1,0.39427,0.000755,0.000755,0.000755
9,5827.61,0.18601,0.8744,1,0.39427,0.000755,0.000755,0.000755
10,6067.38,0.17192,0.86957,1,0.46997,0.000693125,0.000693125,0.000693125
10,6333.74,0.17192,0.86957,1,0.46997,0.000693125,0.000693125,0.000693125
11,6586.34,0.14756,0.88406,1,0.40027,0.00063125,0.00063125,0.00063125
11,6845.16,0.14756,0.88406,1,0.40027,0.00063125,0.00063125,0.00063125
12,7096.44,0.13555,0.88406,1,0.40494,0.000569375,0.000569375,0.000569375
12,7374.75,0.13555,0.88406,1,0.40494,0.000569375,0.000569375,0.000569375
13,7611.13,0.11027,0.88164,1,0.41144,0.0005075,0.0005075,0.0005075
13,7888.73,0.11027,0.88164,1,0.41144,0.0005075,0.0005075,0.0005075
14,8115.27,0.11703,0.87923,1,0.42881,0.000445625,0.000445625,0.000445625
14,8384.33,0.11703,0.87923,1,0.42881,0.000445625,0.000445625,0.000445625
15,8609.2,0.09522,0.88164,1,0.42621,0.00038375,0.00038375,0.00038375
15,8900.85,0.09522,0.88164,1,0.42621,0.00038375,0.00038375,0.00038375
16,9131.47,0.10192,0.87923,1,0.44007,0.000321875,0.000321875,0.000321875
16,9427.08,0.10192,0.87923,1,0.44007,0.000321875,0.000321875,0.000321875
17,9648.92,0.07562,0.87923,1,0.4338,0.00026,0.00026,0.00026
17,9958.66,0.07562,0.87923,1,0.4338,0.00026,0.00026,0.00026
18,10184.5,0.0656,0.87681,1,0.43053,0.000198125,0.000198125,0.000198125
18,10502.5,0.0656,0.87681,1,0.43053,0.000198125,0.000198125,0.000198125
19,10725.6,0.07507,0.8913,1,0.42084,0.00013625,0.00013625,0.00013625
19,11032.8,0.07507,0.8913,1,0.42084,0.00013625,0.00013625,0.00013625
20,11256.5,0.06625,0.88647,1,0.39726,7.4375e-05,7.4375e-05,7.4375e-05
20,11455.6,0.06625,0.88647,1,0.39726,7.4375e-05,7.4375e-05,7.4375e-05
