epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,226.342,1.02914,0.74396,1,0.65045,0.000411932,0.000411932,0.000411932
2,438.423,0.51293,0.81401,1,0.52037,0.000787583,0.000787583,0.000787583
3,625.424,0.42869,0.843,1,0.45181,0.00112198,0.00112198,0.00112198
4,800.538,0.33847,0.82609,1,0.51756,0.00106437,0.00106437,0.00106437
5,977.807,0.30155,0.86473,1,0.43537,0.0010025,0.0010025,0.0010025
6,1151.72,0.25659,0.86957,1,0.43119,0.000940625,0.000940625,0.000940625
7,1326.74,0.22657,0.87681,1,0.43234,0.00087875,0.00087875,0.00087875
8,1501.7,0.19622,0.86715,1,0.48751,0.000816875,0.000816875,0.000816875
9,1676.12,0.1657,0.88406,1,0.41643,0.000755,0.000755,0.000755
10,1851.66,0.16714,0.88647,1,0.43108,0.000693125,0.000693125,0.000693125
11,2025.15,0.18081,0.87681,1,0.42366,0.00063125,0.00063125,0.00063125
12,2198.9,0.11784,0.87681,1,0.44937,0.000569375,0.000569375,0.000569375
13,2373.14,0.11833,0.89372,1,0.43872,0.0005075,0.0005075,0.0005075
14,2546.97,0.11771,0.8913,1,0.44077,0.000445625,0.000445625,0.000445625
15,2722.29,0.12384,0.89372,1,0.45336,0.00038375,0.00038375,0.00038375
16,2896.09,0.09847,0.90097,1,0.39387,0.000321875,0.000321875,0.000321875
17,3070.22,0.07813,0.91063,1,0.3818,0.00026,0.00026,0.00026
18,3243.81,0.08568,0.89855,1,0.40524,0.000198125,0.000198125,0.000198125
19,3419.94,0.0736,0.89614,1,0.39161,0.00013625,0.00013625,0.00013625
20,3594.61,0.06436,0.90338,1,0.39382,7.4375e-05,7.4375e-05,7.4375e-05
