epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,253.745,0.84338,0.65459,1,1.75633,0.0703409,0.00329545,0.00329545
2,500.872,0.91937,0.62802,1,1.46077,0.0402097,0.00649754,0.00649754
3,747.536,0.90922,0.59903,1,1.13331,0.00994641,0.00956762,0.00956762
4,994.745,0.91946,0.7029,1,0.90308,0.009406,0.009406,0.009406
5,1317.35,0.89612,0.65942,1,0.79593,0.009208,0.009208,0.009208
6,3025.79,0.80116,0.66425,1,0.86001,0.00901,0.00901,0.00901
7,3535.69,0.77047,0.73913,1,0.74305,0.008812,0.008812,0.008812
8,3781.27,0.73202,0.71498,1,0.71015,0.008614,0.008614,0.008614
9,4023.35,0.71795,0.76329,1,0.65354,0.008416,0.008416,0.008416
10,4263.75,0.63303,0.76812,1,0.73371,0.008218,0.008218,0.008218
11,4605.46,0.65003,0.77295,1,0.72506,0.00802,0.00802,0.00802
12,4951.6,0.63488,0.78261,1,0.73331,0.007822,0.007822,0.007822
13,5300.99,0.60357,0.80193,1,0.58585,0.007624,0.007624,0.007624
14,5648.97,0.60454,0.71498,1,0.81299,0.007426,0.007426,0.007426
15,6000.93,0.58448,0.78986,1,0.58515,0.007228,0.007228,0.007228
16,6348.23,0.56154,0.7657,1,0.63121,0.00703,0.00703,0.00703
17,6697.91,0.5768,0.79469,1,0.68013,0.006832,0.006832,0.006832
18,7099.92,0.55183,0.77536,1,0.63453,0.006634,0.006634,0.006634
19,7501.72,0.55438,0.78261,1,0.79046,0.006436,0.006436,0.006436
20,7901.21,0.52681,0.78019,1,0.57517,0.006238,0.006238,0.006238
21,8285.29,0.49731,0.75604,1,0.74571,0.00604,0.00604,0.00604
22,8657.39,0.51196,0.81643,1,0.65167,0.005842,0.005842,0.005842
23,9029.82,0.50066,0.8285,1,0.54548,0.005644,0.005644,0.005644
24,9400.44,0.44615,0.83575,1,0.52788,0.005446,0.005446,0.005446
25,9773.01,0.46037,0.78744,1,0.59785,0.005248,0.005248,0.005248
26,10153.1,0.47203,0.80435,1,0.6758,0.00505,0.00505,0.00505
27,10527.2,0.45926,0.82367,1,0.50353,0.004852,0.004852,0.004852
28,10905.7,0.46198,0.82609,1,0.54101,0.004654,0.004654,0.004654
29,11279.4,0.44907,0.83092,1,0.54751,0.004456,0.004456,0.004456
30,11653.8,0.44532,0.83575,1,0.57863,0.004258,0.004258,0.004258
31,12025.8,0.42177,0.85266,1,0.52044,0.00406,0.00406,0.00406
32,12404.4,0.4333,0.86473,1,0.57585,0.003862,0.003862,0.003862
33,12794.3,0.3924,0.84058,1,0.47965,0.003664,0.003664,0.003664
34,13120.6,0.38998,0.83816,1,0.52895,0.003466,0.003466,0.003466
35,13449.9,0.39945,0.85507,1,0.51372,0.003268,0.003268,0.003268
36,13779,0.38454,0.84783,1,0.54049,0.00307,0.00307,0.00307
37,14107.1,0.3635,0.85507,1,0.54548,0.002872,0.002872,0.002872
38,14432.1,0.33697,0.86957,1,0.48028,0.002674,0.002674,0.002674
39,14760.6,0.38165,0.85749,1,0.47087,0.002476,0.002476,0.002476
40,15087.9,0.36756,0.87198,1,0.46838,0.002278,0.002278,0.002278
41,15418.5,0.33557,0.83575,1,0.5232,0.00208,0.00208,0.00208
42,15744.1,0.3154,0.83575,1,0.56249,0.001882,0.001882,0.001882
43,21342.1,0.30026,0.86715,1,0.53068,0.001684,0.001684,0.001684
44,21678.9,0.2892,0.85507,1,0.50763,0.001486,0.001486,0.001486
45,22012,0.31333,0.86715,1,0.53405,0.001288,0.001288,0.001288
46,22337.2,0.29295,0.8744,1,0.52406,0.00109,0.00109,0.00109
47,22661.4,0.28367,0.86715,1,0.51558,0.000892,0.000892,0.000892
48,22988.5,0.26703,0.87198,1,0.51443,0.000694,0.000694,0.000694
49,23325.3,0.2644,0.88164,1,0.46801,0.000496,0.000496,0.000496
50,23648.9,0.24271,0.88406,1,0.47167,0.000298,0.000298,0.000298
